100 Deadly Skills, Clint Emerson
Nobody Is Ever Missing, Catherine Lacey
Not Without Peril, Nicholas Howe
Notes From Underground, Fyodor Dostoyevsky
Notorious RBG, Irin Carmon
Odyssey, Homer
Operation Nemesis, Eric Bogosian
Penpal, Dathan Auerbach
Perdido Street Station, China Mieville
Plague Dogs, Richard Adams
Player Piano, Kurt Vonnegut
Poison, Dr. Mark Siddall
Poisons, Peter Macinnis
Portnoy's Complaint, Philip Roth
Rabid: A Cultural History of the World's Most Diabolical Virus, Bill Wasik
Regenesis, George M. Church
Relentless Strike, Sean Naylor
Revenge of the Kremlin, Gerard de Villiers
Rtfm: Red Team Field Manual, Ben Clark
Seveneves, Neal Stephenson
Silence on the Wire, Michal Zalewski
Smoke Gets in Your Eyes, Caitlin Doughty
Sophie's World, Jostein Gaarder
Spy Catcher, Peter Wright
Spy Secrets That Can Save Your Life, Jason Hanson
Superintelligence, Nick Bostrom
Survive Like a Spy, Jason Hanson
Swan Song, Robert McCammon
Tailor Tinker Soldier, John le Carre
Team of Rivals, Doris Kearns Goodwin
Team of Teams, Stanley McChrystal
Tesla: Inventor of the Electrical Age, W. Bernard Carlson
The Age of Cryptocurrency, Paul Vigna
The Alienist, Caleb Carr
The Amazing Adventures of Kavalier & Clay, Michael Chabon
The Art of Intelligence, Henry A. Crumpton
The Art of Invisibility, Kevin Mitnick
The Assassination Complex, Jeremy Scahill
The Best Democracy Money Can Buy, Greg Palast
The Better Angels of Our Nature, Steven Pinker
The Biggest Secret, David Icke
The Billion Dollar Spy, David E. Hoffman
The Book, Alan Watts
The Brothers Karamazov, Fyodor Dostoevsky
The Cartel, Don Winslow
The Center Cannot Hold, Elyn R. Saks
The Complete Jack the Ripper, Donald Rumbelow
The Conquest of Happiness, Bertrand Russell
The Corpse Reader, Antonio Garrido
The Corrections, Jonathan Franzen
The Craft of Intelligence, Allen Dulles
The Cuckoo's Egg, Clifford Stoll
The Cybernetics Moment, Ronald R. Kline
The Darkening Web, Alexander Klimburg
The Devil's Chessboard, David Talbot
The Earth Has a Soul, C. G. Jung
The Emperor's New Mind, Roger Penrose
The End of Power, Moises Naim
The Fault in Our Stars, John Green
The Force, Don Winslow
The Forever War, Joe Haldeman
The Foundation Saga, Isaac Asimov
The Fountainhead, Ayn Rand
The Four Agreements, Don Miguel Ruiz
The Gene: An Intimate History, Siddhartha Mukherjee
The Ghost in the Machine, Arthur Koestler
The Girl Next Door, Jack Ketchum
The Girl with All the Gifts, M.R. Carey
The Good Soldiers, David Finkel
The Great Bridge, David McCullough
The Greater Journey, David McCullough
The Handmaid's Tale, Margaret Atwood
The Immortal Life of Henrietta Lacks, Rebecca Skloot
The Inevitable, Kevin Kelly
The Intelligent Investor, Benjamin Graham
The Laws of Medicine, Siddhartha Mukherjee
The Looming Tower, Lawrence Wright
The Madmen of Benghazi, Gerard de Villiers
The Magicians, Lev Grossman
The Making of a Radical, Scott Nearing
The Master Switch: The Rise and Fall of Information Empires, Tim Wu
The Morbid Anatomy of Some of the Most Important Parts of the Human Body, Matthew Baillie
The New New Thing, Michael Lewis
The Nightingale, Kristin Hannah
The Nix, Nathan Hill
The Panda's Thumb, Stephen Jay Gould
The Pentagon's Brain, Annie Jacobsen
The Philosophy Book, Will Buckingham
The Pigeon Tunnel, John le Carre
The Plot to Hack America, Malcolm Nance
The Poisoner's Handbook, Deborah Blum
The Power Broker, Robert A. Caro
The Power of your Subconscious Mind, Joseph Murphy
The Problems of Philosophy, Bertrand Russell
The Puzzle Palace, James Bamford
The Restaurant at the End of the Universe, Douglas Adams
The Road to Reality: A Complete Guide to the Laws of the Universe, Roger Penrose
The Robber Barons, Matthew Josephson
The Savior Generals, Victor Davis Hanson
The Scar, China Mieville
The Scented Ape, David Michael Stoddart
The Secret History of Twin Peaks: A Novel, Mark Frost
The Secret Sentry, Matthew M. Aid
The Society of Mind, Marvin Minsky
The Sovereign Individual, James Dale Davidson
The Spy Who Came in from the Cold, John le Carre
The Stand, Stephen King
The Tales of Beedle the Bard, J.K. Rowling
The Technology of Orgasm, Rachel Maines
The Trespasser, Tana French
The Trouble With Testosterone, Robert Sapolsky
The Undiscovered Self, C. G. Jung
The Undoing Project, Michael Lewis
The View from the Cheap Seats, Neil Gaiman
The White Umbrella, Mary Frances Bowley
Things Fall Apart, Chinua Achebe
Time Warp Trio series, Jon Scieszka
Tribe: On Homecoming and Belonging, Sebastian Junger
True Names, Vernor Vinge
Twenty Thousand Leagues Under the Sea, Jules Verne
Vengeance, George Jonas
War and Peace, Leo Tolstoy
Watership Down, Richard Adams
What Happened, Hillary Rodham Clinton
Why Zebras Don't Get Ulcers, Robert Sapolsky
Work Rules!, Laszlo Bock
World Without Mind, Franklin Foer
Zodiac, Robert Graysmith
